meeting_id,meeting_type,split,n_utterances,n_speakers,sds,dominant_speaker_flag,total_words
IS1005c,IS,train,336,4,1.3159,0,4739
IS1007a,IS,train,225,4,1.8168,1,2041
IS1000a,IS,train,363,4,2.1798,1,2903
IS1006b,IS,train,438,4,1.4976,0,5283
IS1008b,IS,train,197,4,1.2159,0,4336
IS1008a,IS,train,139,4,2.1786,1,2508
IS1009c,IS,train,269,4,1.5606,1,4506
IS1001b,IS,train,485,4,1.5541,1,4916
IS1007b,IS,train,301,4,1.4331,0,3115
IS1003c,IS,train,506,4,1.1684,0,5043
IS1008c,IS,train,207,4,1.3958,0,4075
IS1002c,IS,train,460,4,1.3339,0,6642
IS1003a,IS,train,230,4,1.7043,1,1495
IS1007c,IS,train,427,4,1.4101,0,5384
IS1001d,IS,train,240,4,2.0186,1,1615
IS1005a,IS,train,136,4,1.8439,1,1666
IS1002b,IS,train,421,4,1.4938,0,7728
IS1001a,IS,train,173,4,2.5733,1,1800
IS1009b,IS,train,429,4,1.281,0,6117
IS1006c,IS,train,485,4,1.5832,1,4722
IS1003b,IS,train,367,4,1.3996,0,3784
IS1004a,IS,train,64,4,1.6073,1,1543
IS1008d,IS,train,326,4,1.1339,0,4159
IS1007d,IS,train,484,4,1.4613,0,5253
TS3004d,TS,train,862,4,1.2022,0,6295
TS3011c,TS,train,570,4,1.6057,1,6031
TS3007c,TS,train,630,4,1.2361,0,7116
TS3011a,TS,train,243,4,1.9555,1,3279
TS3004c,TS,train,754,4,1.2376,0,6939
TS3007d,TS,train,1035,4,1.303,0,7822
TS3008c,TS,train,673,4,1.5825,1,7267
TS3012c,TS,train,888,4,1.9675,1,8360
TS3005d,TS,train,1303,4,1.1686,0,9153
TS3012b,TS,train,779,4,2.0136,1,8558
TS3003b,TS,train,317,4,1.5061,1,4884
TS3009c,TS,train,901,4,1.3711,0,7238
TS3003c,TS,train,327,4,1.4622,0,4637
TS3006a,TS,train,441,4,1.4616,0,2734
TS3006d,TS,train,1290,4,1.6052,1,8425
TS3009b,TS,train,849,4,1.3073,0,7891
TS3010d,TS,train,339,4,1.5186,1,3016
TS3006c,TS,train,959,4,1.4607,0,7432
TS3004b,TS,train,596,4,1.1006,0,6513
TS3006b,TS,train,915,4,1.6451,1,7032
TS3005b,TS,train,699,4,1.3191,0,7672
TS3010a,TS,train,115,4,1.7429,1,1120
TS3012d,TS,train,761,4,2.3175,1,6809
TS3008a,TS,train,287,4,2.4272,1,2767
TS3005a,TS,train,291,4,2.067,1,3013
TS3011d,TS,train,539,4,1.5364,1,4655
TS3007b,TS,train,433,4,1.1063,0,6718
TS3010c,TS,train,380,4,1.72,1,4035
IB4010,OTHER,validation,1028,4,1.1816,0,9651
EN2001e,OTHER,validation,831,5,2.7121,1,12881
IN1013,OTHER,validation,1209,4,1.8214,1,11279
ES2009b,ES,validation,263,4,1.8088,1,4195
ES2002c,ES,validation,521,4,1.4515,0,7821
ES2006a,ES,validation,195,4,1.7441,1,2782
ES2011c,ES,validation,391,4,1.3518,0,4758
ES2013d,ES,validation,354,4,1.337,0,4311
ES2007c,ES,validation,472,4,1.3857,0,6140
IS1002d,IS,validation,293,4,1.5235,1,3492
IS1006a,IS,validation,277,4,1.4594,0,1872
IS1004d,IS,validation,628,4,1.3836,0,5169
IS1001c,IS,validation,301,4,1.4784,0,3466
TS3003d,TS,validation,677,4,1.9634,1,5350
TS3008d,TS,validation,936,4,1.8394,1,8605
TS3008b,TS,validation,575,4,2.31,1,7181
TS3003a,TS,validation,203,4,3.1703,1,2531
EN2002a,OTHER,test,1036,4,1.4623,0,7621
IN1009,OTHER,test,303,4,1.7046,1,2898
IN1016,OTHER,test,1064,4,1.4943,0,11850
EN2003a,OTHER,test,492,3,2.0504,1,6407
IN1001,OTHER,test,932,3,1.2947,0,9609
EN2001b,OTHER,test,585,4,2.3692,1,10010
EN2002d,OTHER,test,959,4,1.4656,0,7830
ES2014d,ES,test,718,4,1.5525,1,7701
ES2008a,ES,test,148,4,1.7899,1,2532
ES2003b,ES,test,290,4,1.5858,1,5751
ES2003c,ES,test,303,4,1.3272,0,6058
ES2016b,ES,test,265,4,1.5818,1,5012
ES2014a,ES,test,141,4,2.2821,1,2226
ES2005b,ES,test,513,4,1.3519,0,6252
ES2004b,ES,test,435,4,1.2179,0,6828
ES2006b,ES,test,437,4,1.1044,0,6244
ES2007b,ES,test,308,4,1.7043,1,4180
ES2008d,ES,test,691,4,1.2565,0,7898
ES2013a,ES,test,106,4,2.3728,1,1561
IS1009a,IS,test,211,4,2.388,1,1995
IS1004c,IS,test,517,4,1.6964,1,6595
IS1006d,IS,test,870,4,1.5335,1,4870
IS1009d,IS,test,489,4,1.5581,1,4721
IS1000c,IS,test,447,4,1.2242,0,5561
IS1003d,IS,test,870,4,1.1705,0,6042
IS1000d,IS,test,908,4,1.1345,0,7348
IS1005b,IS,test,374,4,1.2578,0,5279
TS3007a,TS,test,343,4,2.3497,1,3386
TS3011b,TS,test,557,4,1.5184,1,5964
TS3010b,TS,test,209,4,1.3211,0,3591
TS3012a,TS,test,145,4,2.4057,1,1977
TS3009a,TS,test,454,4,2.0575,1,4279
TS3004a,TS,test,327,4,1.9641,1,3065
TS3009d,TS,test,917,4,1.5405,1,6798
TS3005c,TS,test,653,4,1.3305,0,6617
